  210 ''''     0    0       0
 2716 9IO  
 2506 9JU  
 2525 9LL  
 2842 9LS  
 3085 9NC  
 3077 9NL  
 3057 9OG  
 2777 9OS  
 1851 9RD  
 2772 9TL  
 3134 9TT  
 2324 9TY  
 2767 9UA  
 2427 9UN  
 2784 9WI  
 2878 9WR  
 1801 9YYZ 
 1769 A4L  
 1276 A9AX 
 1522 AAA      0   43.20   76.90  851 Almaty, Kazakhstan
 1271 AAB  
 2891 AAD  
  590 AAH  42647   23.07   72.63   55 Ahmadabad, IN
 2934 AAL   0     57.09 9.85 3 Aalborg, DK
  737 AAO      0   37.75  -97.22  432 Wichita/Jabara, KS
 2139 AAS  
  732 AAT      0   41.48 -119.45 1333 Alturas, CA 
 2613 ABA  
  537 ABB      0   19.10   72.80    3 Bombay
 1234 ABC  
 2249 ABE      0   40.65  -75.44 0120 Lehigh Valley International
 1542 ABH  
    1 ABI  72266   32.42  -99.68 0546 Abilene, TX
  713 ABL      0    0       0  
 1211 ABO  
    2 ABQ  72365   35.05 -106.62 1619 Albuquerque, NM
 2248 ABR      0   45.45  -98.42 0396 Aberdeen Regional
    3 ABY  72216   31.53  -84.18 0059 Albany, GA
  551 ACA  76805   16.75  -99.77    5 Acapulco, GR   
  888 ACH  
    4 ACT  72256   31.62  -97.22 0155 Waco/Mdsn Cooper, TX
 1589 ADW  74594   38.82  -76.87   86 Andrews AFB, MD   
 3130 AEI  
  601 AEX  74754   31.33  -92.55   27 Alexandria Intl, LA
  798 AEZ  87576  -34.82  -58.53   20 Buenos Aires, EZ 
  337 AFA      0   32.98  -97.32  220 Fort Worth/Alliance, TX 
 1780 AFU  
 1866 AFW  
  804 AGS  72218   33.37  -81.97   45 Augusta, GA
  420 AKA      0    0       0  
 2852 AKB      0  52.2   -174.2   17   ATKA, AK
  405 AKC      0    0       0  
  403 AKD      0    0       0  
  472 AKF      0    0       0   
 1452 AKH  
 1092 AKI  
  511 AKJ      0    0       0    
  273 AKL  93110  -37.02  174.82    6 Auckland Intl., NZ
  416 AKM  68438  -28.80   24.77 1192 Kimberley, SA
 2833 AKN  70326  58.68  -156.65  15   KING SALMON, AK
  607 AKO      0   40.17 -103.22 1431 Akron, CO 
